MATCH,HALF,POSS,TEAM,OPP,SOURCE,START,END,LOST,SOURCE NOTE,LOST NOTE
57,2,14,KEN,FIJ,Line out won,7,5,HE,,HE: knock on
57,2,15,FIJ,KEN,Intercept,11,14,Intercept,,
57,2,16,KEN,FIJ,Intercept,2,1,Tackled to touch,,
57,2,17,FIJ,KEN,Line out,15,14,TRY,,
57,2,18,KEN,FIJ,Restart,6,1,HE,,HE: lost fwd in tackle
57,2,19,FIJ,KEN,PK,15,15,TRY,PK: delay of game,
57,2,20,KEN,FIJ,Restart,2,3,HE,,HE: lost fwd in tackle
57,2,21,FIJ,KEN,Scrum,13,14,Poached,,
57,2,22,KEN,FIJ,Poach,2,4,Tackled to touch,,
58,1,1,NZL,ENG,Restart,6,14,TRY,,
58,1,2,ENG,NZL,Restart,3,3,Kick,,
58,1,3,NZL,ENG,Kick,1,1,Kicked to touch,,
58,1,4,ENG,NZL,Line out,9,9,Line out stolen,,
58,1,5,NZL,ENG,Line out won,7,9,PEN,,PEN: hands in ruck
58,1,6,ENG,NZL,PK,7,7,HE,PK: hands in ruck,HE: knock on
58,1,7,NZL,ENG,Scrum,9,7,Kicked to touch,,
58,1,8,ENG,NZL,Line out,3,3,Line out stolen,,
58,1,9,NZL,ENG,Line out won,13,13,TRY,,
58,1,10,ENG,NZL,Restart,3,4,Poached,,
58,1,11,NZL,ENG,Poach,12,13,TRY,,
58,1,12,ENG,NZL,Restart,6,6,Kick,,
58,1,13,NZL,ENG,Kick,1,2,Kicked to touch,,
58,2,14,ENG,NZL,Restart,3,3,Kick,,
58,2,15,NZL,ENG,Kick,1,1,Kick,,
58,2,16,ENG,NZL,Kick,6,6,Kick,,
58,2,17,NZL,ENG,Kick,1,1,Kick,,
58,2,18,ENG,NZL,Kick,3,3,Kick,,
58,2,19,NZL,ENG,Kick,7,7,Kick,,
58,2,20,ENG,NZL,Kick,3,3,Kick,,
58,2,21,NZL,ENG,Kick,4,5,Kicked to touch,,
58,2,22,ENG,NZL,Line out,1,1,Kick,,
58,2,23,NZL,ENG,Kick,9,14,HE,,HE: ball lost  to touch
58,2,24,ENG,NZL,Line out,3,3,Line out stolen,,
58,2,25,NZL,ENG,Line out won,13,10,Kick,,
58,2,26,ENG,NZL,Kick,1,1,Kick,,
58,2,27,NZL,ENG,Kick,3,3,Kick,,
58,2,28,ENG,NZL,Kick,1,1,Kicked to touch,,
58,2,29,NZL,ENG,Line out,9,9,Line out stolen,,
58,2,30,ENG,NZL,Line out won,7,11,HE,,HE: knock on
58,2,31,NZL,ENG,Scrum,5,5,Kick,,
58,2,32,ENG,NZL,Kick,1,3,Counter ruck,,
58,2,33,NZL,ENG,Counter ruck,13,14,TRY,,
58,2,34,ENG,NZL,Restart,3,5,Maul,,
58,2,35,NZL,ENG,Scrum,11,8,HE,,HE: knock on
58,2,36,ENG,NZL,Scrum,8,8,PEN,,PEN: not releasing
58,2,37,NZL,ENG,PK,8,13,TRY,PK: not releasing,
