MATCH,HALF,POSS,TEAM,OPP,SOURCE,START,END,LOST,SOURCE NOTE,LOST NOTE,,,,,,
5,1,7,RSA,WAL,PK,14,14,PT,PK: thrown fwd to teammate,PT: deliberate knock on in goal; TRY: converted,,,,,,
5,1,8,WAL,RSA,Restart,1,2,Kick,,,,,,,,
5,1,9,RSA,WAL,Kick,4,4,Kick,,,,,,,,
5,1,10,WAL,RSA,Kick,6,12,HE,,HE: knock on,,,,,,
5,1,11,RSA,WAL,Scrum,4,5,Kick,,,,,,,,
5,1,12,WAL,RSA,Kick,1,8,Poached,,,,,,,,
5,1,13,RSA,WAL,Poach,8,14,TRY,,TRY: converted,,,,,,
5,2,14,WAL,RSA,Restart,1,14,TRY,,TRY: converted,,,,,,
5,2,15,RSA,WAL,Restart,6,14,TRY,,TRY: converted,,,,,,
5,2,16,WAL,RSA,FK,8,14,TRY,FK: restart not 10,,,,,,,
5,2,17,RSA,WAL,Restart,4,4,PEN,,PEN: ball carrier not releasing,,,,,,
5,2,18,WAL,RSA,PK,12,13,PEN,PK: ball carrier not releasing,PEN: ball carrier not releasing,,,,,,
5,2,19,RSA,WAL,PK,1,8,Intercept,PK: ball carrier not releasing,,,,,,,
5,2,20,WAL,RSA,Intercept,8,8,HE,,HE: knock on,,,,,,
6,1,1,KEN,ASM,Scrum,8,14,TRY,Scrum: knocked on restart,TRY: converted,,,,,,
6,1,2,KEN,ASM,PK,11,14,Intercept,PK: fwd to player in off side position,,,,,,,
6,1,3,ASM,KEN,Intercept,2,2,HE,,HE: knock on,,,,,,
6,1,4,KEN,ASM,Scrum,14,11,Intercept,,,,,,,,
6,1,5,ASM,KEN,Intercept,5,7,Tackled to touch,,,,,,,,
6,1,6,KEN,ASM,Line out,9,14,TRY,Line out: quick,TRY: converted,,,,,,
6,1,7,KEN,ASN,Reclaim,10,13,Tackled to touch,,,,,,,,
6,1,8,ASM,KEN,Line out,3,3,Line out stolen,,,,,,,,
6,1,9,KEN,ASM,Line out stolen,13,13,TRY,,TRY: converted,,,,,,
6,1,10,ASM,KEN,Restart,6,11,Poached,,Poached: lost in standing tackle,,,,,,
6,1,11,KEN,ASM,Poach,5,15,TRY,,TRY: converted,,,,,,
6,2,12,ASM,KEN,Restart,6,7,Kick,,,,,,,,
6,2,13,KEN,ASM,Kick,9,9,HE,,HE: lost fwd in tackle,,,,,,
6,2,14,ASM,KEN,Scrum,7,8,PEN,,PEN: collapsing the ruck,,,,,,
6,2,15,KEN,ASM,PK,8,14,TRY,PK: collapsing the ruck,TRY: converted,,,,,,
6,2,16,ASM,KEN,Restart,5,7,Intercept,,,,,,,,
6,2,17,KEN,ASM,Intercept,9,14,PEN,,PEN: ball carrier not releasing,,,,,,
6,2,18,ASM,KEN,PK,2,5,PEN,PK: ball carrier not releasing,PEN: diving over,,,,,,
6,2,19,KEN,ASM,PK,11,14,TRY,,TRY: converted,,,,,,
6,2,20,ASM,KEN,Restart,6,8,Counter ruck,,,,,,,,
6,2,21,KEN,ASM,Counter ruck,2,9,HE,,HE: knock on,,,,,,
6,2,22,ASM,KEN,Scrum,7,8,HE,,HE: knock on,,,,,,
7,1,1,FIJ,SCO,Reclaim,10,14,HE,,HE: knock on in goal,,,,,,
7,1,2,SCO,FIJ,Scrum,2,3,PEN,,PEN: diving over,,,,,,
7,1,3,FIJ,SCO,PK,13,14,TRY,PK: diving over,TRY: converted,,,,,,
7,1,4,SCO,FIJ,Restart,5,10,Tackled to touch,,,,,,,,
7,1,5,FIJ,SCO,Line out,6,14,HE,Line out: quick,HE: knock on,,,,,,
7,1,6,SCO,FIJ,Scrum,2,2,Kick,,,,,,,,
7,1,7,FIJ,SCO,Kick,7,14,TRY,,TRY: converted,,,,,,
7,1,8,FIJ,SCO,Reclaim,10,13,Intercept,,,,,,,,
7,1,9,SCO,FIJ,Intercept,3,14,TRY,,TRY: converted,,,,,,
7,2,10,SCO,FIJ,Reclaim,12,12,PEN,,PEN: ball carrier not releasing,,,,,,
7,2,11,FIJ,SCO,PK,4,14,TRY,PK: ball carrier not releasing,TRY: converted,,,,,,
7,2,12,SCO,FIJ,Restart,6,6,PEN,,PEN: ball carrier not releasing,,,,,,
7,2,13,FIJ,SCO,PK,10,14,TRY,PK: ball carrier not releasing,TRY: converted,,,,,,
7,2,14,SCO,FIJ,Restart,6,8,Poached,,,,,,,,
7,2,15,FIJ,SCO,Poach,8,13,TRY,,,,,,,,
7,2,16,FIJ,SCO,Reclaim,12,14,TRY,,TRY: converted,,,,,,
7,2,17,FIJ,SCO,Reclaim,8,7,Intercept,,,,,,,,
7,2,18,SCO,FIJ,Intercept,9,14,Intercept,,,,,,,,
7,2,19,FIJ,SCO,Intercept,2,15,Kick,,,,,,,,
7,2,20,SCO,FIJ,Kick,1,8,HE,,HE: lost fwd in tackle,,,,,,
8,1,1,POR,AUS,Restart,4,7,Maul,,Maul: held up,,,,,,
8,1,2,AUS,POR,Scrum,9,14,TRY,,TRY: converted,,,,,,
8,1,3,POR,AUS,Restart,6,6,Poached,,Poached: lost in standing tackle,,,,,,
8,1,4,AUS,POR,Poach,10,13,TRY,,,,,,,,
8,1,5,POR,AUS,FK,8,10,Maul,FK: restart not 10,Maul: held up,,,,,,
